Agency Name,Longitude,Latitude
St. Luke's Food Pantry,-73.915569,40.806186
CCNS-St John's Food Pantry,-73.936356,40.694848
CCNS-Brooklyn West Family Center,-73.991781,40.692758
CCNS-St. Marks,-73.950274,40.587942
Grace Episcopal Church,-73.883551,40.840563
Our Lady of Mercy Church,-73.905075,40.662047
Momentum Project Inc. @ COGOP,-73.92547,40.815716
Momentum Project @Middle Collegiate Church,-73.987592,40.727652
Momentum Project Inc. @ St. Peter's Church,-73.92547,40.815716
The Salvation Army Tremont Corps,-73.895365,40.852158
CCNS-Our Lady of Angels Human Services,-74.026147,40.632443
Christian Fellowship SDA Community Svcs FP,-73.93341,40.654213
Christian Fellowship SDA Community Svcs- S.K.,-73.93341,40.654213
New York City Love Kitchen Inc.,-73.918374,40.86214
Bethesda Missionary Baptist Church,-73.781936,40.708366
Bethesda Missionary Baptist Church,-73.781936,40.708366
Calvary AME Church,-73.927186,40.678239
Salem United Methodist Church,-73.947122,40.811911
Truth Center for Higher Consciousness,-73.931968,40.637141
Redeemed Christian Church of God,-73.916773,40.828949
Co-Op City Seventh Day Adventist Church,-73.831066,40.880344
Temple Beth-El Community Food Pantry,-73.908384,40.830911
"Grand Concourse SDA Church, Inc.",-73.916339,40.836375
Agape Social Services Beulah Ministry,-73.946438,40.680617
Agape Social Services Beulah Church,-73.946438,40.680617
The Hope Center Development Corporation,-73.918445,40.657186
Morris Brown AME Church,-73.793414,40.673796
Bethany Baptist Church of Jamaica,-73.791664,40.690308
Iglesia De Dios Pentecostal,-73.831499,40.887931
Glover Memorial,-73.917017,40.674977
Glover Memorial BC,-73.917017,40.674977
Victory SDA Church,-73.850114,40.871425
Fraternite Notre Dame,-73.934417,40.797051
Faith Assemblies of God,-73.922833,40.689294
Faith Assemblies,-73.922833,40.689294
Ebenezer SDA Church,-73.921238,40.667481
United Bronx Parents,-73.906668,40.812935
"United Bronx Parents, Inc.",-73.90407,40.81396
Acts Community Development Corporation,-73.988428,40.576101
Acts Community Development Corp.,-73.988428,40.576101
St. Ann's Corner Of Harm Reduction,-73.899469,40.820589
St. Alban's Deliverance Feeding Program,-73.752282,40.70695
